,Pop,Sq.Ki.,Sq.Mi.,Pop.per.Sq.Ki.,Name
,64873,1842.0,711.2,35.2,Guadalupe County
,34671,2602.3,1004.7,13.3,Hale County
,3905,2339.1,903.1,1.7,Hall County
,7733,2164.7,835.8,3.6,Hamilton County
,5848,2382.5,919.9,2.5,Hansford County
,5283,1801.2,695.4,2.9,Hardeman County
,41320,2316.4,894.4,17.8,Hardin County
,2818199,4478.1,1729.0,629.3,Harris County
,57483,2328.0,898.8,24.7,Harrison County
,3634,3787.5,1462.4,1.0,Hartley County
,6820,2338.9,903.0,2.9,Haskell County
,65614,1755.9,677.9,37.4,Hays County
,3720,2356.2,909.7,1.6,Hemphill County
,58543,2264.6,874.4,25.9,Henderson County
,383545,4063.9,1569.1,94.4,Hidalgo County
,27146,2492.7,962.4,10.9,Hill County
,24199,2352.5,908.3,10.3,Hockley County
,28981,1092.0,421.6,26.5,Hood County
,28833,2032.5,784.8,14.2,Hopkins County
,21375,3188.3,1231.0,6.7,Houston County
,32343,2338.6,902.9,13.8,Howard County
,2915,11839.8,4571.3,0.2,Hudspeth County
,64343,2178.8,841.2,29.5,Hunt County
,25689,2298.4,887.4,11.2,Hutchinson County
,1629,2723.6,1051.6,0.6,Irion County
,6981,2376.2,917.4,2.9,Jack County
,13039,2148.5,829.5,6.1,Jackson County
,31102,2428.0,937.5,12.8,Jasper County
,1946,5865.3,2264.6,0.3,Jeff Davis County
,239397,2340.3,903.6,102.3,Jefferson County
,5109,2942.7,1136.2,1.7,Jim Hogg County
,37679,2239.4,864.7,16.8,Jim Wells County
,97165,1889.2,729.4,51.4,Johnson County
,16490,2411.5,931.1,6.8,Jones County
,12455,1943.5,750.4,6.4,Karnes County
,52220,2036.1,786.1,25.6,Kaufman County
,14589,1715.9,662.5,8.5,Kendall County
,460,3773.3,1456.9,0.1,Kenedy County
,1010,2337.2,902.4,0.4,Kent County
,36304,2865.3,1106.3,12.7,Kerr County
,4122,3239.6,1250.8,1.3,Kimble County
,354,2363.0,912.3,0.1,King County
,3119,3531.6,1363.5,0.9,Kinney County
,30274,2256.0,871.1,13.4,Kleberg County
,4837,2212.3,854.2,2.2,Knox County
,43949,2375.2,917.1,18.5,Lamar County
,15072,2632.2,1016.3,5.7,Lamb County
,13521,1844.3,712.1,7.3,Lampasas County
,5254,3856.5,1489.0,1.4,La Salle County
,18690,2512.3,970.0,7.4,Lavaca County
,12854,1628.0,628.6,7.9,Lee County
