"","Pop","Sq.Ki.","Sq.Mi.","Pop.per.Sq.Ki.","Name","State"
"527","11000",1142.6,441.2,"9.6","Telfair County","Georgia "
"528","10653",868.9,335.5,"12.3","Terrell County","Georgia "
"529","38986",1420.5,548.4,"27.4","Thomas County","Georgia "
"530","34998",686.7,265.1,"51.0","Tift County","Georgia "
"531","24072",949.8,366.7,"25.3","Toombs County","Georgia "
"532","6754",431.3,166.5,"15.7","Towns County","Georgia "
"533","5994",519.9,200.7,"11.5","Treutlen County","Georgia "
"534","55536",1072.1,413.9,"51.8","Troup County","Georgia "
"535","8703",741,286.1,"11.7","Turner County","Georgia "
"536","9806",933.4,360.4,"10.5","Twiggs County","Georgia "
"537","11993",835.8,322.7,"14.3","Union County","Georgia "
"538","26300",843.1,325.5,"31.2","Upson County","Georgia "
"539","58340",1155.9,446.3,"50.5","Walker County","Georgia "
"540","38586",852.8,329.3,"45.2","Walton County","Georgia "
"541","35471",2337.7,902.6,"15.2","Ware County","Georgia "
"542","6078",739.6,285.5,"8.2","Warren County","Georgia "
"543","19112",1762.4,680.5,"10.8","Washington County","Georgia "
"544","22356",1669.9,644.7,"13.4","Wayne County","Georgia "
"545","2263",542.7,209.6,"4.2","Webster County","Georgia "
"546","4903",771.1,297.7,"6.4","Wheeler County","Georgia "
"547","13006",625.8,241.6,"20.8","White County","Georgia "
"548","72462",751.1,290,"96.5","Whitfield County","Georgia "
"549","7008",985.2,380.4,"7.1","Wilcox County","Georgia "
"550","10597",1220.9,471.4,"8.7","Wilkes County","Georgia "
"551","10228",1156.7,446.6,"8.8","Wilkinson County","Georgia "
"552","19745",1475.8,569.8,"13.4","Worth County","Georgia "
"553","1108229",16636.5,6423.4,"66.6","Hawaii",NA
"554","120317",10433.1,4028.2,"11.5","Hawaii County","Hawaii "
"555","836231",1554.5,600.2,"538.0","Honolulu County","Hawaii "
"556","130",34.2,13.2,"3.8","Kalawao County","Hawaii "
"557","51177",1612.2,622.5,"31.7","Kauai County","Hawaii "
"558","100374",3002.5,1159.3,"33.4","Maui County","Hawaii "
"559","1006749",214325,82751,"4.7","Idaho",NA
"560","205775",2732.6,1055,"75.3","Ada County","Idaho "
"561","3254",3534.5,1364.7,"0.9","Adams County","Idaho "
"562","66026",2883.2,1113.2,"22.9","Bannock County","Idaho "
"563","6084",2516,971.4,"2.4","Bear Lake County","Idaho "
"564","7937",2009.9,776,"3.9","Benewah County","Idaho "
"565","37583",5425.6,2094.8,"6.9","Bingham County","Idaho "
"566","13552",6850.3,2644.9,"2.0","Blaine County","Idaho "
"567","3509",4927.5,1902.5,"0.7","Boise County","Idaho "
"568","26622",4500.4,1737.6,"5.9","Bonner County","Idaho "
"569","72207",4839.6,1868.6,"14.9","Bonneville County","Idaho "
"570","8332",3286.2,1268.8,"2.5","Boundary County","Idaho "
"571","2918",5783.3,2232.9,"0.5","Butte County","Idaho "
"572","727",2784.3,1075,"0.3","Camas County","Idaho "
"573","90076",1527.5,589.8,"59.0","Canyon County","Idaho "
"574","6963",4574.2,1766.1,"1.5","Caribou County","Idaho "
"575","19532",6647.5,2566.6,"2.9","Cassia County","Idaho "
"576","762",4570.6,1764.7,"0.2","Clark County","Idaho "
"577","8505",6375.4,2461.6,"1.3","Clearwater County","Idaho "
"578","4133",12757.3,4925.6,"0.3","Custer County","Idaho "
"579","21205",7971.4,3077.8,"2.7","Elmore County","Idaho "
"580","9232",1723.6,665.5,"5.4","Franklin County","Idaho "
"581","10937",4835.1,1866.8,"2.3","Fremont County","Idaho "
"582","11844",1457.1,562.6,"8.1","Gem County","Idaho "
"583","11633",1892.9,730.8,"6.1","Gooding County","Idaho "
"584","13783",21976.6,8485.2,"0.6","Idaho County","Idaho "
"585","16543",2836.4,1095.1,"5.8","Jefferson County","Idaho "
"586","15138",1553.7,599.9,"9.7","Jerome County","Idaho "
"587","69795",3225.1,1245.2,"21.6","Kootenai County","Idaho "
"588","30617",2788.7,1076.7,"11.0","Latah County","Idaho "
"589","6899",11821.6,4564.3,"0.6","Lemhi County","Idaho "
"590","3516",1240.8,479.1,"2.8","Lewis County","Idaho "
"591","3308",3122.5,1205.6,"1.1","Lincoln County","Idaho "
"592","23674",1221.3,471.6,"19.4","Madison County","Idaho "
"593","19361",1967.6,759.7,"9.8","Minidoka County","Idaho "
"594","33754",2199.2,849.1,"15.3","Nez Perce County","Idaho "
"595","3492",3109.1,1200.4,"1.1","Oneida County","Idaho "
"596","8392",19887,7678.4,"0.4","Owyhee County","Idaho "
"597","16434",1055.5,407.5,"15.6","Payette County","Idaho "
"598","7086",3640.7,1405.7,"1.9","Power County","Idaho "
"599","13931",6822.1,2634,"2.0","Shoshone County","Idaho "
"600","3439",1166.5,450.4,"2.9","Teton County","Idaho "
"601","53580",4986.1,1925.1,"10.7","Twin Falls County","Idaho "
"602","6109",9526.5,3678.2,"0.6","Valley County","Idaho "
"603","8550",3772,1456.4,"2.3","Washington County","Idaho "
"604","11430602",143986.6,55593.3,"79.4","Illinois",NA
"605","66090",2218.9,856.7,"29.8","Adams County","Illinois"
"606","10626",612.3,236.4,"17.4","Alexander County","Illinois"
"607","14991",984.7,380.2,"15.2","Bond County","Illinois"
"608","30806",728.8,281.4,"42.3","Boone County","Illinois"
"609","5836",791.7,305.7,"7.4","Brown County","Illinois"
"610","35688",2249.7,868.6,"15.9","Bureau County","Illinois"
"611","5322",657.5,253.8,"8.1","Calhoun County","Illinois"
"612","16805",1150.6,444.2,"14.6","Carroll County","Illinois"
"613","13437",973.7,376,"13.8","Cass County","Illinois"
"614","173025",2582.7,997.2,"67.0","Champaign County","Illinois"
"615","34418",1836.5,709.1,"18.7","Christian County","Illinois"
"616","15921",1299,501.5,"12.3","Clark County","Illinois"
"617","14460",1215.4,469.3,"11.9","Clay County","Illinois"
"618","33944",1228.3,474.3,"27.6","Clinton County","Illinois"
"619","51644",1316.5,508.3,"39.2","Coles County","Illinois"
"620","5105067",2449.3,945.7,"2084.3","Cook County","Illinois"
"621","19464",1148.8,443.6,"16.9","Crawford County","Illinois"
"622","10670",896.2,346,"11.9","Cumberland County","Illinois"
"623","77932",1642.5,634.2,"47.4","DeKalb County","Illinois"
"624","16516",1029.8,397.6,"16.0","De Witt County","Illinois"
"625","19464",1079.7,416.9,"18.0","Douglas County","Illinois"
"626","781666",866.2,334.4,"902.4","Du Page County","Illinois"
"627","19595",1615.1,623.6,"12.1","Edgar County","Illinois"
"628","7440",575.9,222.4,"12.9","Edwards County","Illinois"
"629","31704",1239.9,478.7,"25.6","Effingham County","Illinois"
"630","20893",1855.8,716.5,"11.3","Fayette County","Illinois"
"631","14275",1258.5,485.9,"11.3","Ford County","Illinois"
"632","40319",1067.3,412.1,"37.8","Franklin County","Illinois"
"633","38080",2242.1,865.7,"17.0","Fulton County","Illinois"
"634","6909",838.5,323.7,"8.2","Gallatin County","Illinois"
"635","15317",1406.7,543.1,"10.9","Greene County","Illinois"
"636","32337",1088.2,420.1,"29.7","Grundy County","Illinois"
"637","8499",1127.1,435.2,"7.5","Hamilton County","Illinois"
"638","21373",2058.2,794.7,"10.4","Hancock County","Illinois"
"639","5189",461.9,178.3,"11.2","Hardin County","Illinois"
"640","8096",981.2,378.8,"8.3","Henderson County","Illinois"
"641","51159",2132.2,823.3,"24.0","Henry County","Illinois"
"642","30787",2891.8,1116.5,"10.6","Iroquois County","Illinois"
"643","61067",1523.3,588.1,"40.1","Jackson County","Illinois"
"644","10609",1280.6,494.4,"8.3","Jasper County","Illinois"
"645","37020",1479.1,571.1,"25.0","Jefferson County","Illinois"
"646","20539",956.3,369.2,"21.5","Jersey County","Illinois"
"647","21821",1557,601.2,"14.0","Jo Daviess County","Illinois"
"648","11347",896.2,346,"12.7","Johnson County","Illinois"
"649","317471",1348.6,520.7,"235.4","Kane County","Illinois"
"650","96255",1754.7,677.5,"54.9","Kankakee County","Illinois"
"651","39413",830.5,320.7,"47.5","Kendall County","Illinois"
"652","56393",1855.3,716.3,"30.4","Knox County","Illinois"
"653","516418",1159.8,447.8,"445.3","Lake County","Illinois"
"654","106913",2939.8,1135,"36.4","La Salle County","Illinois"
"655","15972",963.5,372,"16.6","Lawrence County","Illinois"
"656","34392",1878.8,725.4,"18.3","Lee County","Illinois"
"657","39301",2703.5,1043.8,"14.5","Livingston County","Illinois"
"658","30798",1601.1,618.2,"19.2","Logan County","Illinois"
"659","35244",1526.3,589.3,"23.1","McDonough County","Illinois"
"660","183241",1564.7,604.1,"117.1","McHenry County","Illinois"
"661","129180",3065.6,1183.6,"42.1","McLean County","Illinois"
"662","117206",1503.6,580.6,"77.9","Macon County","Illinois"
"663","47679",2236.9,863.7,"21.3","Macoupin County","Illinois"
"664","249238",1877.9,725.1,"132.7","Madison County","Illinois"
"665","41561",1482.2,572.3,"28.0","Marion County","Illinois"
"666","12846",1000,386.1,"12.8","Marshall County","Illinois"
"667","16269",1396,539,"11.7","Mason County","Illinois"
"668","14752",619.1,239.1,"23.8","Massac County","Illinois"
"669","11164",814,314.3,"13.7","Menard County","Illinois"
"670","17290",1453.1,561.1,"11.9","Mercer County","Illinois"
"671","22422",1005.8,388.3,"22.3","Monroe County","Illinois"
"672","30728",1823,703.8,"16.9","Montgomery County","Illinois"
"673","36397",1473.2,568.8,"24.7","Morgan County","Illinois"
"674","13930",869.2,335.6,"16.0","Moultrie County","Illinois"
"675","45957",1965.5,758.9,"23.4","Ogle County","Illinois"
"676","182827",1604.6,619.6,"113.9","Peoria County","Illinois"
"677","21412",1142.2,441,"18.7","Perry County","Illinois"
"678","15548",1139.7,440,"13.6","Piatt County","Illinois"
"679","17577",2150.6,830.3,"8.2","Pike County","Illinois"
"680","4373",960.6,370.9,"4.6","Pope County","Illinois"
"681","7523",520.1,200.8,"14.5","Pulaski County","Illinois"
"682","5730",413.9,159.8,"13.8","Putnam County","Illinois"
"683","34583",1498.2,578.4,"23.1","Randolph County","Illinois"
"684","16545",932.8,360.2,"17.7","Richland County","Illinois"
"685","148723",1105.4,426.8,"134.5","Rock Island County","Illinois"
"686","262852",1719.5,663.9,"152.9","St. Clair County","Illinois"
"687","26551",992.8,383.3,"26.7","Saline County","Illinois"
"688","178386",2248.8,868.3,"79.3","Sangamon County","Illinois"
"689","7498",1132.8,437.4,"6.6","Schuyler County","Illinois"
"690","5644",650,251,"8.7","Scott County","Illinois"
"691","22261",1964.6,758.6,"11.3","Shelby County","Illinois"
"692","6534",745.7,287.9,"8.8","Stark County","Illinois"
"693","48052",1461.5,564.3,"32.9","Stephenson County","Illinois"
"694","123692",1680.7,648.9,"73.6","Tazewell County","Illinois"
